"Notes","Residence County","Residence County Code","Sex","Sex Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Broadwater County, MT","30007","Female","F","80-84 years","80-84",28,453,6181.0,4107.2,8933.3
,"Broadwater County, MT","30007","Female","F","85-89 years","85-89",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Broadwater County, MT","30007","Female","F","90-94 years","90-94",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Broadwater County, MT","30007","Female","F","95-99 years","95-99",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Broadwater County, MT","30007","Female","F","100+ years","100+",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Broadwater County, MT","30007","Female","F","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Broadwater County, MT","30007","Female","F",,,164,18226,899.8,762.1,1037.5
,"Broadwater County, MT","30007","Male","M","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Broadwater County, MT","30007","Male","M","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Broadwater County, MT","30007","Male","M","5-9 years","5-9",0,1095,0.0,0.0,0.0
,"Broadwater County, MT","30007","Male","M","10-14 years","10-14",0,1036,0.0,0.0,0.0
,"Broadwater County, MT","30007","Male","M","15-19 years","15-19",0,924,0.0,0.0,0.0
,"Broadwater County, MT","30007","Male","M","20-24 years","20-24",Suppressed,839,Suppressed,Suppressed,Suppressed
,"Broadwater County, MT","30007","Male","M","25-29 years","25-29",Suppressed,1086,Suppressed,Suppressed,Suppressed
,"Broadwater County, MT","30007","Male","M","30-34 years","30-34",Suppressed,1148,Suppressed,Suppressed,Suppressed
,"Broadwater County, MT","30007","Male","M","35-39 years","35-39",Suppressed,1168,Suppressed,Suppressed,Suppressed
,"Broadwater County, MT","30007","Male","M","40-44 years","40-44",Suppressed,1181,Suppressed,Suppressed,Suppressed
,"Broadwater County, MT","30007","Male","M","45-49 years","45-49",Suppressed,1114,Suppressed,Suppressed,Suppressed
,"Broadwater County, MT","30007","Male","M","50-54 years","50-54",Suppressed,1238,Suppressed,Suppressed,Suppressed
,"Broadwater County, MT","30007","Male","M","55-59 years","55-59",11,1349,815.4,407.1,1459.0
,"Broadwater County, MT","30007","Male","M","60-64 years ","60-64",18,1592,1130.7,670.1,1786.9
,"Broadwater County, MT","30007","Male","M","65-69 years","65-69",22,1628,1351.4,846.9,2046.0
,"Broadwater County, MT","30007","Male","M","70-74 years","70-74",22,1383,1590.7,996.9,2408.4
,"Broadwater County, MT","30007","Male","M","75-79 years","75-79",27,946,2854.1,1880.9,4152.6
,"Broadwater County, MT","30007","Male","M","80-84 years","80-84",32,535,5981.3,4091.2,8443.8
